id|name|sub_category|description|category
BAFGFT|Financial support for first bachelor degree: Gifts|Bachelors Degree|BAFGFT indicates whether or not the respondent depended on gifts from parents or other relatives as financial support during his/her first bachelor's degree.  The respondent was asked to indicate all sources of financial support that applied.  Other variables from this survey question include BAFAST, BAFEM, BAFERN, BAFGRN, BAFLN, BAFOT, and BAFPLN.|Education
BAFGRN|Financial support for first bachelor degree: Grants|Bachelors Degree|BAFGRN indicates whether or not the respondent depended on tuition waivers, fellowships, grants, or scholarships as financial support during his/her first bachelor's degree.  The respondent was asked to indicate all sources of financial support that applied.  Other variables from this survey question include BAFAST, BAFEM, BAFERN, BAFGFT, BAFLN, BAFOT, and BAFPLN.|Education
BAFLN|Financial support for first bachelor degree: Loans|Bachelors Degree|BAFLN indicates whether or not the respondent depended on loans from the academic institution, banks, or government as financial support during his/her first bachelor's degree.  The respondent was asked to indicate all sources of financial support that applied.  Other variables from this survey question include BAFAST, BAFEM, BAFERN, BAFGFT, BAFGRN, BAFOT, and BAFPLN.|Education
BAFOT|Financial support for first bachelor degree: Other|Bachelors Degree|BAFOT indicates whether or not the respondent depended on a source of financial support during his/her first bachelor's degree other than the potential sources listed on the questionnaire.  The respondent was asked to indicate all sources of financial support that applied.  Other variables from this survey question include BAFAST, BAFEM, BAFERN, BAFGFT, BAFGRN, BAFLN, and BAFPLN.|Education
BAFPLN|Financial support for first bachelor degree: Loans from relatives|Bachelors Degree|BAFPLN indicates whether or not the respondent depended loans from parents or relatives as financial support during his/her first bachelor's degree.  The respondent was asked to indicate all sources of financial support that applied.  Other variables from this survey question include BAFAST, BAFEM, BAFERN, BAFGFT, BAFGRN, BAFLN, and BAFOT.|Education
DGRDG|Type of highest certificate or degree|Highest Degree|DGRDG reports the type of the respondent's highest postsecondary degree or certificate.|Education
HDAY5|Year of highest degree pre-2003 (5 year intervals)|Highest Degree|HDAY5 reports the year, recoded to intervals, in which the respondent received his/her highest degree.  The variable HD03Y5 provides similar information for different samples.|Education
HD03Y5|Year of highest degree 2003-onward (5 year intervals)|Highest Degree|HD03Y5 reports the year, in 5-year intervals, in which the respondent received his/her highest degree (for all samples 2003 and after). For the comparable variable pre-2003, see HDAY5.|Education
NDGMED|Field of major for highest degree |Highest Degree|NDGMED provides the respondent's field of major for his/her highest degree. The variable NDGMEMG provides this information with a broader level of detail.|Education
NDGMEMG|Field of major for highest degree (major group)|Highest Degree|NDGMEMG categorizes the field of major for the respondent's highest degree into seven broad fields. The variable NDGMED provides this information with a finer level of detail.|Education
HDRGN|Location of school awarding highest degree|Highest Degree|HDRGN reports the location of the school from which the respondent received his or her highest degree.|Education
HDDGRUS|School awarding highest degree located in the US|Highest Degree|HDDGRUS identifies whether or not the academic institution where the respondent received his/her highest degree was located in the United States or not.  Due to the sample design of the SDR survey, SDR respondents have all received their doctorate (which is their highest degree) from an institution in the US.  See our Survey Designs User Note for more information.|Education
HDFAST|Financial support for highest degree: assistantship/work study|Highest Degree|HDFAST indicates whether or not the respondent depended on financial support from an assistantship or work study during his/her highest post-secondary degree.  The respondent was asked to indicate all sources of financial support that applied.  Other variables from this survey question include HDFEM, HDFERN, HDFGFT, HDFGRN, HDFLN, HDFOT, and HDFPLN.|Education
HDFEM|Financial support for highest degree: financial assistance from employer|Highest Degree|HDFEM indicates whether or not the respondent depended on financial support from his/her employer during his/her highest post-secondary degree.  The respondent was asked to indicate all sources of financial support that applied.  Other variables from this survey question include HDFAST, HDFERN, HDFGFT, HDFGRN, HDFLN, HDFOT, and HDFPLN.|Education
HDFERN|Financial support for highest degree: earnings from employment|Highest Degree|HDFERN indicates whether or not the respondent depended on earnings from employment as financial support during his/her highest post-secondary degree.  The respondent was asked to indicate all sources of financial support that applied.  Other variables from this survey question include HDFAST, HDFEM, HDFGFT, HDFGRN, HDFLN, HDFOT, and HDFPLN.|Education
HDFGFT|Financial support for highest degree: gifts|Highest Degree|HDFGFT indicates whether or not the respondent depended on gifts from parents or other relatives as financial support during his/her highest post-secondary degree.  The respondent was asked to indicate all sources of financial support that applied.  Other variables from this survey question include HDFAST, HDFEM, HDFERN, HDFGRN, HDFLN, HDFOT, and HDFPLN.|Education
HDFGRN|Financial support for highest degree: grants|Highest Degree|HDFGRN indicates whether or not the respondent depended on tuition waivers, fellowships, grants, or scholarships as financial support during his/her highest post-secondary degree.  The respondent was asked to indicate all sources of financial support that applied.  Other variables from this survey question include HDFAST, HDFEM, HDFERN, HDFGFT, HDFLN, HDFOT, and HDFPLN.|Education
HDFLN|Financial support for highest degree: loans|Highest Degree|HDFLN indicates whether or not the respondent depended on loans from the academic institution, banks, or government as financial support during his/her highest post-secondary degree.  The respondent was asked to indicate all sources of financial support that applied.  Other variables from this survey question include HDFAST, HDFEM, HDFERN, HDFGFT, HDFGRN, HDFOT, and HDFPLN.|Education
HDFOT|Financial support for highest degree: other|Highest Degree|HDFOT indicates whether or not the respondent depended on a source of financial support during his/her highest post-secondary degree other than the potential sources listed on the questionnaire.  The respondent was asked to indicate all sources of financial support that applied.  Other variables from this survey question include HDFAST, HDFEM, HDFERN, HDFGFT, HDFGRN, HDFLN, and HDFPLN.|Education
HDFPLN|Financial support for highest degree: loans from parents, other relatives|Highest Degree|HDFPLN indicates whether or not the respondent depended loans from parents or relatives as financial support during his/her highest post-secondary degree.  The respondent was asked to indicate all sources of financial support that applied.  Other variables from this survey question include HDFAST, HDFEM, HDFERN, HDFGFT, HDFGRN, HDFLN, and HDFOT.|Education
SAMEFLD|Likelihood of choosing same field of study for highest degree|Highest Degree|SAMEFLD describes how likely the respondent would be to choose the same field of degree for their highest degree if they had the chance to choose again.|Education
MRDG|Type of degree, most recent degree|Most Recent Degree|MRDG indicates the type of degree the respondent received most recently.|Education
MR03Y5|Year of most recent degree (5-year intervals, 2003+)|Most Recent Degree|MR03Y5 reports the year, in 5-year intervals, in which the respondent received his/her most recent degree, post 2003. MR5YR reports similar information, but prior to 2003.|Education
MR5YR|Year of most recent degree (5-year intervals, pre-2003) |Most Recent Degree|MR5YR reports the year, recoded to intervals, in which the respondent received his/her most recent degree.  MR5YR is only available for samples prior to 2003, but the variable MR03Y5 also provides similar information for 2003-onward.|Education
NMRMEDR|Field of major for most recent degree|Most Recent Degree|NMRMEDR provides a public-use version of respondent's field of study of major for most recent degree. The related variable NMRMEMG provides a more general categorization of the information found in NMRMEDR.|Education
NMRMEMG|Field of study of major for most recent degree (major group)|Most Recent Degree|NMRMEMG categorizes the field of study of major for the respondent's most recent degree into eight broad fields. The variable NMRMEDR provides this information with a finer level of detail.|Education
MRRGN|Location of school awarding most recent degree|Most Recent Degree|MRRGN reports the location of the academic institution from which the respondent received his/her most recent post-secondary degree.  The geographic level is at the US region level, with a category to identify institutions outside of the US.|Education
MRDGRUS|School awarding most recent degree located in the US|Most Recent Degree|MRDGRUS reports whether or not the academic institution from which the respondent received his/her most recent post-secondary degree was located in the United States.|Education
MRFAST|Financial support, most recent degree: assistantship/work study|Most Recent Degree|MRFAST indicates whether or not the respondent depended on financial support from an assistantship or work study during his/her most recent post-secondary degree.  The respondent was asked to indicate all sources of financial support that applied.  Other variables from this survey question include MRFEM, MRFERN, MRFGFT, MRFGRN, MRFLN, MRFOT, and MRFPLN.|Education
MRFEM|Financial support, most recent degree: financial assistance from employer|Most Recent Degree|MRFEM indicates whether or not the respondent depended on financial support from his/her employer during his/her most recent post-secondary degree.  The respondent was asked to indicate all sources of financial support that applied.  Other variables from this survey question include MRFAST, MRFERN, MRFGFT, MRFGRN, MRFLN, MRFOT, and MRFPLN.|Education
MRFERN|Financial support, most recent degree: earnings from employment|Most Recent Degree|MRFERN indicates whether or not the respondent depended on earnings from employment as financial support during his/her most recent post-secondary degree.  The respondent was asked to indicate all sources of financial support that applied.  Other variables from this survey question include MRFAST, MRFEM, MRFGFT, MRFGRN, MRFLN, MRFOT, and MRFPLN.|Education
MRFGFT|Financial support, most recent degree: gifts|Most Recent Degree|MRFGFT indicates whether or not the respondent depended on gifts from parents or other relatives as financial support during his/her most recent post-secondary degree.  The respondent was asked to indicate all sources of financial support that applied.  Other variables from this survey question include MRFAST, MRFEM, MRFERN, MRFGRN, MRFLN, MRFOT, and MRFPLN.|Education
MRFGRN|Financial support, most recent degree: grants|Most Recent Degree|MRFGRN indicates whether or not the respondent depended on tuition waivers, fellowships, grants, or scholarships as financial support during his/her most recent post-secondary degree.  The respondent was asked to indicate all sources of financial support that applied.  Other variables from this survey question include MRFAST, MRFEM, MRFERN, MRFGFT, MRFLN, MRFOT, and MRFPLN.|Education
MRFLN|Financial support, most recent degree: loans|Most Recent Degree|MRFLN indicates whether or not the respondent depended on loans from the academic institution, banks, or government as financial support during his/her most recent post-secondary degree.  The respondent was asked to indicate all sources of financial support that applied.  Other variables from this survey question include MRFAST, MRFEM, MRFERN, MRFGFT, MRFGRN, MRFOT, and MRFPLN.|Education
MRFPLN|Financial support, most recent degree: loans from parents, other relatives|Most Recent Degree|MRFPLN indicates whether or not the respondent depended loans from parents or relatives as financial support during his/her most recent post-secondary degree.  The respondent was asked to indicate all sources of financial support that applied.  Other variables from this survey question include MRFAST, MRFEM, MRFERN, MRFGFT, MRFGRN, MRFLN, and MRFOT.|Education
MRFOT|Financial support, most recent degree: other|Most Recent Degree|MRFOT indicates whether or not the respondent depended on a source of financial support during his/her most recent post-secondary degree other than the potential sources listed on the questionnaire.  The respondent was asked to indicate all sources of financial support that applied.  Other variables from this survey question include MRFAST, MRFEM, MRFERN, MRFGFT, MRFGRN, MRFLN, and MRFPLN.|Education
ASDGRI|Two-year associates degree|Associates Degree|ASDGRI indicates whether or not the respondent holds a 2-year associates degree as of the reference week.|Education
COMCOLI|Attended community college|Community College|COMCOLI indicates whether or not the respondent ever enrolled in courses at a community college.|Education
CCASDG|Reasons attend community college: complete associates degree|Community College|CCASDG indicates whether or not the respondent chose to enroll in community college classes as part of an advanced placement program in high school.  Other reasons respondents could have given for taking community college classes can be found in the variables CCADVPL, CCBSDG, CCCHGFL, CCCOLPR, CCFIN, CCGED, CCINT, CCOT,  CCPRAD, and CCSKL.  The variable CCAFDG indicates whether the respondent was in the universe for this question.|Education
CCBSDG|Reasons attend community college: complete credit towards bachelors degree|Community College|CCBSDG indicates whether or not the respondent chose to enroll in community college classes in order to complete credits towards a bachelor's degree.  Other reasons respondents could have given for taking community college classes can be found in the variables CCADVPL, CCASDG, CCCHGFL, CCCOLPR, CCFIN, CCGED, CCINT, CCOT,  CCPRAD, and CCSKL.  The variable CCAFDG indicates whether the respondent was in the universe for this question.|Education
CCCHGFL|Reasons attend community college: change academic/occupational field|Community College|CCCHGFL indicates whether or not the respondent chose to enroll in community college classes in order to change his/her academic or occupational field.  Other reasons respondents could have given for taking community college classes can be found in the variables CCADVPL, CCASDG, CCBSDG, CCCOLPR, CCFIN, CCGED, CCINT, CCOT,  CCPRAD, and CCSKL.  The variable CCAFDG indicates whether the respondent was in the universe for this question.|Education
CCCOLPR|Reasons attend community college: prepare for college|Community College|CCCOLPR indicates whether or not the respondent chose to enroll in community college classes in order to prepare for college.  Other reasons respondents could have given for taking community college classes can be found in the variables CCADVPL, CCASDG, CCBSDG, CCCHGFL, CCFIN, CCGED, CCINT, CCOT,  CCPRAD, and CCSKL.  The variable CCAFDG indicates whether the respondent was in the universe for this question.|Education
CCFIN|Reasons attend community college: financial reasons|Community College|CCFIN indicates whether or not the respondent chose to enroll in community college classes for financial reasons.  Other reasons respondents could have given for taking community college classes can be found in the variables CCADVPL, CCASDG, CCBSDG, CCCHGFL, CCGED, CCINT, CCOT,  CCPRAD, and CCSKL.  The variable CCAFDG indicates whether the respondent was in the universe for this question.|Education
CCINT|Reasons attend community college: leisure|Community College|CCINT indicates whether or not the respondent chose to enroll in community college classes simply for leisure or personal interest.  Other reasons respondents could have given for taking community college classes can be found in the variables CCADVPL, CCASDG, CCBSDG, CCCHGFL, CCCOLPR, CCFIN, CCGED, CCOT,  CCPRAD, and CCSKL.  The variable CCAFDG indicates whether the respondent was in the universe for this question.|Education
CCOT|Reasons attend community college: other|Community College|CCOT indicates whether or not the respondent chose to enroll in community college classes for a reason other the ones listed on the questionnaire.  Other reasons respondents could have given for taking community college classes can be found in the variables CCADVPL, CCASDG, CCBSDG, CCCHGFL, CCCOLPR, CCFIN, CCGED, CCINT, CCPRAD, and CCSKL.  The variable CCAFDG indicates whether the respondent was in the universe for this question.|Education
CCPRAD|Reasons attend community college: increase opportunities for promotion|Community College|CCPRAD indicates whether or not the respondent chose to enroll in community college classes in order to increase opportunities for promotion or advancement.  Other reasons respondents could have given for taking community college classes can be found in the variables CCADVPL, CCASDG, CCBSDG, CCCHGFL, CCCOLPR, CCFIN, CCGED, CCINT, CCOT, and CCSKL.  The variable CCAFDG indicates whether the respondent was in the universe for this question.|Education
CCSKL|Reasons attend community college: acquire further skills in field|Community College|CCSKL indicates whether or not the respondent chose to enroll in community college classes in order to acquire further skills in his/her academic or occupational field.  Other reasons respondents could have given for taking community college classes can be found in the variables CCADVPL, CCASDG, CCBSDG, CCCHGFL, CCCOLPR, CCFIN, CCGED, CCINT, CCOT, and CCPRAD.  The variable CCAFDG indicates whether the respondent was in the universe for this question.|Education
ACFPT|Full-time/part-time student status|Current Enrollment|ACFPT reports whether the respondent was taking courses full-time, part-time, or not enrolled in a degree program even though they were taking classes.|Education
ACSIN|Taking courses during reference week|Current Enrollment|ACSIN indicates whether the respondent was taking courses or enrolled in a degree program during the reference week.|Education
ACDRG|Type of degree working on during reference week|Current Enrollment|ACDRG gives the type of degree the respondent was working towards during the reference week.|Education
CCAFDG|Took college courses after completing most recent degree|Current Enrollment|CCAFDG indicates whether or not the respondent chose to enroll in community college classes after completing his/her most recent degree.|Education
TCDG|Type of degree working on since after college|Current Enrollment|If the respondent had taken a course after completing his/her college degree, TCDG indicates the type of degree for which the respondent took courses.|Education
TCDGCM|Completed a degree since the last survey|Current Enrollment|TCDGCM reports whether or not the respondent completed a post-secondary degree between the reference month of the survey and the last iteration of that survey, which is typically a period of 2 to 3 years.  TCDG indicates the type of degree the respondent was working on since the completed degree the respondent was sampled for.|Education
TCED|Field of major for field of study after most recent degree |Current Enrollment|For respondents who took college courses after completing the sample degree, TCED describes the field of degree of the courses.|Education
PFMAEDGR|Field of study after earning degree|Current Enrollment|If a respondent had taken college-level courses after earning his/her most recent degree, PFMAEDGR indicates the general field of degree to which the courses belonged.|Education
NACEDMG|Field of major for current degree (major code)|Current Enrollment|NACEDMG categorizes the respondent's field of study during the reference week into seven broad fields.|Education
TCEDNO|No primary field of study in courses after college|Current Enrollment|TCEDNO indicates that a respondent who took college courses after his/her most recent degree did not have a primary field of study in those courses.|Education
ACADV|Reasons for taking courses: increase advancement opportunities|Current Enrollment|ACADV indicates whether the reason that the respondent was enrolled in classes in the reference week was to increase opportunities for promotion, career advancement, or a higher salary.  The survey question from which ACADV was derived asks the respondent to mark all reasons why he/she was taking courses or enrolled in a degree program.  Related variables include ACCAR, ACCHG,  ACEM, ACGRD, ACINT, ACLIC, ACOT, ACOTP, and ACSKL.|Education
ACCAR|Reasons for taking courses: further education before career|Current Enrollment|ACCAR indicates whether the reason that the respondent was enrolled in classes in the reference week was to gain further education before beginning a career.  The survey question from which ACCAR was derived asks the respondent to mark all reasons why he/she was taking courses or enrolled in a degree program.  Related variables include ACADV, ACCHG,  ACEM, ACGRD, ACINT, ACLIC, ACOT, ACOTP, and ACSKL.|Education
ACCHG|Reasons for taking courses: facilitate academic/occupational field change|Current Enrollment|ACCHG indicates whether the reason that the respondent was enrolled in classes in the reference week was to change his/her academic or occupational field.  The survey question from which ACCHG was derived asks the respondent to mark all reasons why he/she was taking courses or enrolled in a degree program.  Related variables include ACADV, ACCAR,  ACEM, ACGRD, ACINT, ACLIC, ACOT, ACOTP, and ACSKL.|Education
ACINT|Reason for taking courses during reference week: leisure/personal interest|Current Enrollment|ACINT indicates whether the reason that the respondent was enrolled in classes in the reference week was for leisure or personal interest.  The survey question from which ACINT was derived asks the respondent to mark all reasons why he/she was taking courses or enrolled in a degree program.  Related variables include ACADV, ACCAR, ACCHG, ACEM, ACGRD, ACLIC, ACOT, ACOTP, and ACSKL.|Education
ACLIC|Reason for taking courses during reference week: licensure/certification|Current Enrollment|ACLIC indicates whether the reason that the respondent was enrolled in classes in the reference week was to attain licensure or a certification.  The survey question from which ACLIC was derived asks the respondent to mark all reasons why he/she was taking courses or enrolled in a degree program.  Related variables include ACADV, ACCAR, ACCHG, ACEM, ACGRD, ACINT, ACOT, ACOTP, and ACSKL.|Education
ACOTP|Reason for taking courses during reference week: grad school, required by employer, other|Current Enrollment|ACOTP indicates whether the reason that the respondent was enrolled in classes in the reference week was that his/her employer required it, to prepare for graduate school, or for another reason that was not listed in the questionnaire.  The survey question from which ACOTP was derived asks the respondent to mark all reasons why he/she was taking courses or enrolled in a degree program.  Related variables include ACADV, ACCAR, ACCHG, ACEM, ACGRD, ACINT, ACLIC, ACOT, and ACSKL.Users should note that another variable, ACOT, also indicates a reason not listed for the respondent enrolling in classes during the reference week.  The difference between the two variables is that in the SESTAT NSCG 2013, the reason required or expected by employer was separated into its own category, whereas in ACOTP would include this reason in samples prior to 2013.|Education
